Date,"Closing Value"
1952-09-08,275.8700
1952-09-09,273.5300
1952-09-10,271.6500
1952-09-11,272.1100
1952-09-12,271.0200
1952-09-15,268.3800
1952-09-16,269.0300
1952-09-17,270.4300
1952-09-18,269.7200
1952-09-19,270.5500
1952-09-22,270.7700
1952-09-23,271.6500
1952-09-24,272.2600
1952-09-25,272.4200
1952-09-26,271.9500
1952-09-29,271.7300
1952-09-30,270.6100
1952-10-01,270.1700
1952-10-02,270.7500
1952-10-03,270.5500
1952-10-06,270.0000
1952-10-07,269.8800
1952-10-08,271.4000
1952-10-09,270.9800
1952-10-10,270.6100
1952-10-14,270.4300
1952-10-15,267.1200
1952-10-16,264.8700
1952-10-17,267.3000
1952-10-20,266.6300
1952-10-21,265.8400
1952-10-22,263.0600
1952-10-23,263.8700
1952-10-24,265.4600
1952-10-27,265.9000
1952-10-28,265.7200
1952-10-29,265.4600
1952-10-30,265.7200
1952-10-31,269.2300
1952-11-03,270.2300
1952-11-05,271.3000
1952-11-06,272.5800
1952-11-07,273.4700
1952-11-10,273.4700
1952-11-12,271.9700
1952-11-13,272.5400
1952-11-14,273.2700
1952-11-17,274.4500
1952-11-18,278.0400
1952-11-19,280.0500
1952-11-20,279.5000
1952-11-21,279.3200
1952-11-24,281.0800
1952-11-25,280.9000
1952-11-26,282.4400
1952-11-28,283.6600
1952-12-01,283.7000
1952-12-02,283.7800
1952-12-03,282.8900
1952-12-04,281.6300
1952-12-05,282.0600
1952-12-08,283.6200
1952-12-09,285.1200
1952-12-10,284.5500
1952-12-11,284.5700
1952-12-12,285.2000
1952-12-15,285.9900
1952-12-16,286.1600
1952-12-17,285.6700
1952-12-18,285.3600
1952-12-19,286.5200
1952-12-22,288.0200
1952-12-23,286.9900
1952-12-24,287.3700
1952-12-26,288.2300
1952-12-29,289.6500
1952-12-30,292.0000
1952-12-31,291.9000
1953-01-02,292.1400
1953-01-05,293.7900
1953-01-06,292.1800
1953-01-07,290.7600
1953-01-08,290.3600
1953-01-09,287.5200
1953-01-12,285.2400
1953-01-13,286.8500
1953-01-14,287.3700
1953-01-15,288.1800
1953-01-16,287.1700
1953-01-19,286.9700
1953-01-20,288.0000
1953-01-21,287.6000
1953-01-22,287.8400
1953-01-23,286.8900
